Omnia {quecumque} | Alleluia alleluia alleluia | euouae 
{Domine probasti} | Alleluia alleluia alleluia | euouae
{Portio mea} | Alleluia alleluia alleluia | euouae
Custodit dominus | Alleluia alleluia alleluia | euouae
Postulavi patrem | Alleluia alleluia alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
Nonne {cor} | Alleluia alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
Dixit {ihecuc} | Alleluia alleluia alleluia alleluia alleluia alleluia alleluia alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
Abraham | Alleluia alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
{Vivo ego} | Alleluia alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
{Prebe fili} | Alleluia alleluia alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
{Sancti tui} | Alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
Vox letitie | Alleluia alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
Ortus conclusus | Alleluia alleluia alleluia alleluia alleluia alleluia | euouae 
