Dum tribularer clamavi ad dominum de ventre inferi et exaudivit me | euouae
Domine vim patior responde pro me quia nescio quid dicam inimicis meis | euouae
Dixerunt impii opprimamus virum iustum quoniam contrarius est operibus nostris | euouae
Cottidie apud vos eram in templo docens et non me tenuistis et ecce flagellatum ducitis ad crucifigendum | euouae
Replevit et inebriavit me amaritudine inimicus meus | euouae
Accepto pane iudas tradidit dominum sicut promiserat principibus sacerdotum | euouae
Si male locutus sum perhibe testimonium sui autem bene quid me cedis | euouae
Ait pylatus munde sunt manus mee a sanguine huius iusti vos videritis | euouae
Nemo tollet a me animam meam sed ego pono eam et iterum sumo eam | euouae
Tradiderunt me
Viri impii dixerunt opprimamus virum iustum iniuste et deglutiamus eum tamquam inferus vivum auferamus memoriam illius de terra et de spoliis eius sortem mittamus inter nos ipsi enim homicide thesaurizaverunt sibi mala insipientes et maligni oderunt sapientiam | Et rei facti sunt in cogitationibus suis
